Tiempo (s),Jugadas
0.011254799999733223,24
0.010937200000626035,24
0.01609219999954803,34
0.0031761999998707324,6
0.028967700000066543,51
0.03727369999978691,64
0.03686500000185333,66
0.0296163000020897,63
0.021541900001466274,45
0.05238599999938742,84
0.017854099998658057,36
0.023552700000436744,42
0.02551300000050105,37
0.021029200001066783,36
0.048410499999590684,81
0.05984259999968344,7
0.02528600000005099,50
0.02789929999926244,49
0.01609390000157873,32
0.06384409999736818,99
0.02614950000133831,40
0.03805849999844213,68
0.01879950000147801,45
0.051313799998752074,27
0.058177200000500306,76
0.010869300000194926,22
0.034805399998731446,83
0.013745599997491809,31
0.027039099997637095,62
0.04153769999902579,76
0.02526869999928749,54
0.025499499999568798,51
0.019468599999527214,38
0.0070051999973657075,18
0.04660629999852972,86
0.021488299997145077,46
0.016276700000162236,41
0.020767500001966255,40
0.036508799999865005,75
0.044219499999599066,101
0.028517099999589846,57
0.03895900000134134,86
0.02350520000254619,51
0.006417699998564785,15
0.021606999998766696,50
0.03836339999907068,80
0.024104299998725764,38
0.006127999997261213,15
0.03434940000079223,71
0.04891779999888968,114
0.13915889999771025,103
0.010762699999759207,27
0.02685890000066138,62
0.018489099998987513,37
0.023596000002726214,56
0.02416100000118604,60
0.03073430000222288,77
0.05049240000153077,109
0.056178700000600656,110
0.03785710000011022,76
0.05199160000120173,125
0.019445999998424668,37
0.03461889999744017,73
0.01343790000100853,30
0.03392810000150348,66
0.02762829999846872,59
0.007148799999413313,15
0.018101100002240855,38
0.0233191999977862,35
0.018875800000387244,39
0.01323469999988447,30
0.018970699999044882,40
0.015620500002114568,34
0.013392300003033597,25
0.05829040000025998,123
0.030036899999686284,71
0.08042900000145892,80
0.03492779999942286,80
0.02169510000021546,54
0.0019241000009060372,3
0.023262499998963904,49
0.008439799999905517,19
0.07968149999942398,84
0.038357299999915995,80
0.02513080000062473,60
0.01572669999950449,44
0.03204090000144788,63
0.006180399999720976,14
0.05449420000149985,70
0.011875700001837686,18
0.00998960000288207,19
0.012558200000057695,31
0.01683240000056685,34
0.034454299999197247,78
0.02653709999867715,62
0.01303380000172183,28
0.02065040000161389,49
0.031684499997936655,69
0.013889799996832153,35
0.009965500001271721,22
0.031609199999365956,66
0.06301829999938491,129
0.028886600000987528,73
0.00814429999809363,20
0.025947900001483504,58
0.026322800000343705,58
0.028718399997160304,68
0.013784300001134397,30
0.03024560000267229,69
0.023433400001522386,51
0.010516499998630024,24
0.02273810000042431,52
0.01286679999975604,31
0.036182199997710995,72
0.015020700000604847,38
0.03210480000052485,75
0.07066940000004251,61
0.01725820000137901,39
0.014222000001609558,28
0.021921100000326987,44
0.0027681999999913387,6
0.023448299998563016,52
0.09026249999806168,111
0.018224800001917174,36
0.04411479999907897,100
0.04758439999932307,28
0.017466799999965588,31
0.010647399998561013,21
0.02477050000015879,54
0.014987200000177836,35
0.04296070000054897,92
0.013105099998938385,29
0.020053899999766145,43
0.029741800000920193,67
0.03606439999930444,80
0.015954700000293087,36
0.006402600000001257,14
0.024629899999126792,58
0.048738700003013946,108
0.030058799999096664,68
0.0347381999999925,90
0.026746299998194445,61
0.03588140000283602,82
0.01950819999910891,50
0.03029979999701027,67
0.021888200000830693,42
0.027396800000133226,48
0.022332700002152706,41
0.01838300000235904,47
0.02309149999928195,45
0.027658899998641573,67
0.017678500000329223,40
0.037703600002714666,80
0.03642459999900893,74
0.05137119999926654,118
0.05125590000170632,113
0.025630799998907605,63
0.0319932999991579,62
0.06862550000005285,72
0.0291691999991599,66
0.04636500000196975,109
0.016204399998969166,40
0.010740699999587378,25
0.025295100000221282,46
0.008624099998996826,21
0.035359999998036074,68
0.03029160000005504,71
0.029634899998200126,60
0.005675099997461075,12
0.033769699999538716,69
0.023112299997592345,59
0.020324199998867698,43
0.026218499999231426,45
0.05802380000022822,124
0.041020800003025215,96
0.025471400000242284,46
0.03047350000269944,65
0.02563699999882374,51
0.010303999999450753,21
0.06947090000176104,147
0.010110300001542782,21
0.08849220000047353,85
0.06422910000037518,135
0.029076400001940783,59
0.009957599999324884,26
0.022679500001686392,50
0.03166179999971064,66
0.011227000002691057,29
0.08541500000137603,93
0.017743899999913992,41
0.012791300003300421,31
0.020072899998922367,48
0.028502699999080505,67
0.035158499998942716,79
0.08708620000106748,94
0.047607499996956903,109
0.04812630000014906,108
0.029854699998395517,70
0.09043770000062068,98
0.015202100003079977,36
