Tiempo (s),Jugadas
0.02386534200013557,114
0.022050440000384697,80
0.006050328000128502,24
0.021024945999670308,30
0.052326622000691714,138
0.09158605000084208,42
0.03161931199974788,26
0.02793253299932985,59
0.009406111999851419,95
0.007802541000273777,70
0.005132249998496263,3
0.005006829000194557,1
0.01232299200091802,4
0.010833132999323425,109
0.0057365970005776035,2
0.013657106999744428,13
0.010360251000747667,129
0.006238642001335393,20
0.09823323899945535,32
0.013664434000020265,23
0.01035921199945733,116
0.005421111000032397,4
0.01117634000001999,113
0.008714448000318953,74
0.006891270000778604,37
0.011169857998538646,134
0.08909259400024894,76
0.00701654800104734,33
0.021536704000027385,45
0.006461622999268002,28
0.012625524001123267,21
0.006737376999808475,37
0.018005691999860574,13
0.04458061699915561,124
0.023236639999595354,83
0.006278144001043984,23
0.008762481998928706,79
0.005501693000041996,3
0.006729049000568921,29
0.013482833001035033,29
0.0057061529987549875,8
0.016364209999665036,86
0.0418288870005199,60
0.008875813999111415,74
0.016769593999924837,120
0.02998134600056801,8
0.08367289499983599,33
0.012339965000137454,6
0.03235051199953887,112
0.01001543100028357,98
0.017376563999278005,114
0.007673358000829467,64
0.014329495999845676,34
0.018830172000889434,15
0.02852839600018342,77
0.013800749999063555,27
0.01664441600041755,89
0.008883377000529435,79
0.005409831001088605,10
0.0065282670002488885,30
0.00817674100107979,61
0.013780289000351331,10
0.01879267300137144,147
0.007055903999571456,32
0.0268637339995621,52
0.04588576800051669,103
0.05206546299996262,74
0.008836637000058545,79
0.06263778100037598,73
0.027407004999986384,17
0.007943849999719532,45
0.011431015000198386,122
0.011524634999659611,137
0.007833674000721658,55
0.10987114699855738,82
0.005421298999863211,8
0.014190970001436654,49
0.006715068000630708,25
0.017407911000191234,118
0.023241553999469033,41
0.01602896099939244,58
0.025851840999166598,126
0.0059249049991194624,15
0.007882411999162287,43
0.021448993000376504,28
0.013447809000354027,27
0.1413132140005473,138
0.028598720999070792,114
0.00625289699928544,18
0.00540107300003001,1
0.005344265000530868,3
0.010812722999617108,109
0.01178615400021954,28
0.0813421169987123,114
0.007507640000767424,70
0.005281939000269631,7
0.02582700700077112,138
0.00623825900038355,22
0.04394151100132149,143
0.005856321999090142,2
0.006599865999305621,23
0.022787760999563034,70
0.016485611000462086,52
0.009347437999167596,84
0.028336459999991348,136
0.012061549999998533,14
0.020985791999919456,31
0.029747778000455583,25
0.03187671600062458,13
0.01748768899960851,26
0.015228420999847003,16
0.017206172000442166,74
0.015369546001238632,50
0.0062299569999595406,17
0.009001600999908987,72
0.014897172000928549,26
0.01141410800119047,135
0.016885521001313464,79
0.025140820000160602,135
0.04364311499921314,39
0.018704165999224642,145
0.008383489999687299,72
0.011753890001273248,118
0.010267501000271295,100
0.00691058200027328,30
0.009811319998334511,99
0.014230425000278046,12
0.009328025998911471,76
0.042401303000588086,78
0.02372803400066914,82
0.007832924999092938,67
0.01774531099908927,129
0.010740429999714252,141
0.06939102000069397,29
0.011746105001293472,147
0.01153037900076015,141
0.012651407001612824,147
0.024101734999931068,60
0.10542156899828115,116
0.015922092999971937,57
0.02981283299959614,64
0.01715739300016139,110
0.014102122999247513,28
0.047399353999935556,134
0.010818079001182923,134
0.020910975999868242,10
0.016139274999659392,124
0.010346728000513394,111
0.00879161299963016,86
0.006278693001149804,30
0.05102547699971183,139
0.018074263998641982,101
0.016047916000388796,38
0.010435584001243114,114
0.006775583999115042,25
0.010300632999133086,94
0.011850041000798228,31
0.019768758998907288,27
0.00564985299934051,11
0.009115701999689918,115
0.037602614998831996,38
0.008503295000991784,101
0.012807017999875825,21
0.02228597199973592,89
0.013358236001295154,29
0.010783655001432635,121
0.012497040999733144,12
0.008237608999479562,60
0.01176592799856735,122
0.0926295110002684,64
0.00577671700011706,15
0.011456031001216616,143
0.010349977999794646,119
0.011804067000412033,5
0.012642837000385043,21
0.005217740999796661,6
0.005914847999520134,17
0.007635723000930739,64
0.01411607800037018,20
0.014427561000047717,31
0.014186350999807473,31
0.032460288999573095,47
0.012717231000351603,134
0.01593521600079839,62
0.013987337999424199,42
0.04225222400054918,17
0.017768042998795863,126
0.007972714000061387,72
0.017676061999736703,10
0.007349616000283277,52
0.005842087999553769,20
0.024668123000083142,47
0.046197912999559776,139
0.01233214800049609,3
0.00767097400057537,50
0.029577048999271938,62
0.006049600000551436,22
0.019043393000174547,65
0.03393541300101788,58
0.005829480000102194,17
